DATEKEY,FULL_DATE,DAYNUMBER,DAYNAME,MONTHNAME,YEARNO,SEASON,QUARTER
20230101,1/1/2023,1,SUNDAY   ,JANUARY  ,2023,Winter,1
20230102,1/2/2023,2,MONDAY   ,JANUARY  ,2023,Winter,1
20230103,1/3/2023,3,TUESDAY  ,JANUARY  ,2023,Winter,1
20230104,1/4/2023,4,WEDNESDAY,JANUARY  ,2023,Winter,1
20230105,1/5/2023,5,THURSDAY ,JANUARY  ,2023,Winter,1
20230106,1/6/2023,6,FRIDAY   ,JANUARY  ,2023,Winter,1
20230107,1/7/2023,7,SATURDAY ,JANUARY  ,2023,Winter,1
20230108,1/8/2023,1,SUNDAY   ,JANUARY  ,2023,Winter,1
20230109,1/9/2023,2,MONDAY   ,JANUARY  ,2023,Winter,1
20230110,1/10/2023,3,TUESDAY  ,JANUARY  ,2023,Winter,1
20230111,1/11/2023,4,WEDNESDAY,JANUARY  ,2023,Winter,1
20230112,1/12/2023,5,THURSDAY ,JANUARY  ,2023,Winter,1
20230113,1/13/2023,6,FRIDAY   ,JANUARY  ,2023,Winter,1
20230114,1/14/2023,7,SATURDAY ,JANUARY  ,2023,Winter,1
20230115,1/15/2023,1,SUNDAY   ,JANUARY  ,2023,Winter,1
20230116,1/16/2023,2,MONDAY   ,JANUARY  ,2023,Winter,1
20230117,1/17/2023,3,TUESDAY  ,JANUARY  ,2023,Winter,1
20230118,1/18/2023,4,WEDNESDAY,JANUARY  ,2023,Winter,1
20230119,1/19/2023,5,THURSDAY ,JANUARY  ,2023,Winter,1
20230120,1/20/2023,6,FRIDAY   ,JANUARY  ,2023,Winter,1
20230121,1/21/2023,7,SATURDAY ,JANUARY  ,2023,Winter,1
20230122,1/22/2023,1,SUNDAY   ,JANUARY  ,2023,Winter,1
20230123,1/23/2023,2,MONDAY   ,JANUARY  ,2023,Winter,1
20230124,1/24/2023,3,TUESDAY  ,JANUARY  ,2023,Winter,1
20230125,1/25/2023,4,WEDNESDAY,JANUARY  ,2023,Winter,1
20230126,1/26/2023,5,THURSDAY ,JANUARY  ,2023,Winter,1
20230127,1/27/2023,6,FRIDAY   ,JANUARY  ,2023,Winter,1
20230128,1/28/2023,7,SATURDAY ,JANUARY  ,2023,Winter,1
20230129,1/29/2023,1,SUNDAY   ,JANUARY  ,2023,Winter,1
20230130,1/30/2023,2,MONDAY   ,JANUARY  ,2023,Winter,1
20230131,1/31/2023,3,TUESDAY  ,JANUARY  ,2023,Winter,1
20230201,2/1/2023,4,WEDNESDAY,FEBRUARY ,2023,Winter,1
20230202,2/2/2023,5,THURSDAY ,FEBRUARY ,2023,Winter,1
20230203,2/3/2023,6,FRIDAY   ,FEBRUARY ,2023,Winter,1
20230204,2/4/2023,7,SATURDAY ,FEBRUARY ,2023,Winter,1
20230205,2/5/2023,1,SUNDAY   ,FEBRUARY ,2023,Winter,1
20230206,2/6/2023,2,MONDAY   ,FEBRUARY ,2023,Winter,1
20230207,2/7/2023,3,TUESDAY  ,FEBRUARY ,2023,Winter,1
20230208,2/8/2023,4,WEDNESDAY,FEBRUARY ,2023,Winter,1
20230209,2/9/2023,5,THURSDAY ,FEBRUARY ,2023,Winter,1
20230210,2/10/2023,6,FRIDAY   ,FEBRUARY ,2023,Winter,1
20230211,2/11/2023,7,SATURDAY ,FEBRUARY ,2023,Winter,1
20230212,2/12/2023,1,SUNDAY   ,FEBRUARY ,2023,Winter,1
20230213,2/13/2023,2,MONDAY   ,FEBRUARY ,2023,Winter,1
20230214,2/14/2023,3,TUESDAY  ,FEBRUARY ,2023,Winter,1
20230215,2/15/2023,4,WEDNESDAY,FEBRUARY ,2023,Winter,1
20230216,2/16/2023,5,THURSDAY ,FEBRUARY ,2023,Winter,1
20230217,2/17/2023,6,FRIDAY   ,FEBRUARY ,2023,Winter,1
20230218,2/18/2023,7,SATURDAY ,FEBRUARY ,2023,Winter,1
20230219,2/19/2023,1,SUNDAY   ,FEBRUARY ,2023,Winter,1
20230220,2/20/2023,2,MONDAY   ,FEBRUARY ,2023,Winter,1
20230221,2/21/2023,3,TUESDAY  ,FEBRUARY ,2023,Winter,1
20230222,2/22/2023,4,WEDNESDAY,FEBRUARY ,2023,Winter,1
20230223,2/23/2023,5,THURSDAY ,FEBRUARY ,2023,Winter,1
20230224,2/24/2023,6,FRIDAY   ,FEBRUARY ,2023,Winter,1
20230225,2/25/2023,7,SATURDAY ,FEBRUARY ,2023,Winter,1
20230226,2/26/2023,1,SUNDAY   ,FEBRUARY ,2023,Winter,1
20230227,2/27/2023,2,MONDAY   ,FEBRUARY ,2023,Winter,1
20230228,2/28/2023,3,TUESDAY  ,FEBRUARY ,2023,Winter,1
20230301,3/1/2023,4,WEDNESDAY,MARCH    ,2023,Spring,1
20230302,3/2/2023,5,THURSDAY ,MARCH    ,2023,Spring,1
20230303,3/3/2023,6,FRIDAY   ,MARCH    ,2023,Spring,1
20230304,3/4/2023,7,SATURDAY ,MARCH    ,2023,Spring,1
20230305,3/5/2023,1,SUNDAY   ,MARCH    ,2023,Spring,1
20230306,3/6/2023,2,MONDAY   ,MARCH    ,2023,Spring,1
20230307,3/7/2023,3,TUESDAY  ,MARCH    ,2023,Spring,1
20230308,3/8/2023,4,WEDNESDAY,MARCH    ,2023,Spring,1
20230309,3/9/2023,5,THURSDAY ,MARCH    ,2023,Spring,1
20230310,3/10/2023,6,FRIDAY   ,MARCH    ,2023,Spring,1
20230311,3/11/2023,7,SATURDAY ,MARCH    ,2023,Spring,1
20230312,3/12/2023,1,SUNDAY   ,MARCH    ,2023,Spring,1
20230313,3/13/2023,2,MONDAY   ,MARCH    ,2023,Spring,1
20230314,3/14/2023,3,TUESDAY  ,MARCH    ,2023,Spring,1
20230315,3/15/2023,4,WEDNESDAY,MARCH    ,2023,Spring,1
20230316,3/16/2023,5,THURSDAY ,MARCH    ,2023,Spring,1
20230317,3/17/2023,6,FRIDAY   ,MARCH    ,2023,Spring,1
20230318,3/18/2023,7,SATURDAY ,MARCH    ,2023,Spring,1
20230319,3/19/2023,1,SUNDAY   ,MARCH    ,2023,Spring,1
20230320,3/20/2023,2,MONDAY   ,MARCH    ,2023,Spring,1
20230321,3/21/2023,3,TUESDAY  ,MARCH    ,2023,Spring,1
20230322,3/22/2023,4,WEDNESDAY,MARCH    ,2023,Spring,1
20230323,3/23/2023,5,THURSDAY ,MARCH    ,2023,Spring,1
20230324,3/24/2023,6,FRIDAY   ,MARCH    ,2023,Spring,1
20230325,3/25/2023,7,SATURDAY ,MARCH    ,2023,Spring,1
20230326,3/26/2023,1,SUNDAY   ,MARCH    ,2023,Spring,1
20230327,3/27/2023,2,MONDAY   ,MARCH    ,2023,Spring,1
20230328,3/28/2023,3,TUESDAY  ,MARCH    ,2023,Spring,1
20230329,3/29/2023,4,WEDNESDAY,MARCH    ,2023,Spring,1
20230330,3/30/2023,5,THURSDAY ,MARCH    ,2023,Spring,1
20230331,3/31/2023,6,FRIDAY   ,MARCH    ,2023,Spring,1
20230401,4/1/2023,7,SATURDAY ,APRIL    ,2023,Spring,2
20230402,4/2/2023,1,SUNDAY   ,APRIL    ,2023,Spring,2
20230403,4/3/2023,2,MONDAY   ,APRIL    ,2023,Spring,2
20230404,4/4/2023,3,TUESDAY  ,APRIL    ,2023,Spring,2
20230405,4/5/2023,4,WEDNESDAY,APRIL    ,2023,Spring,2
20230406,4/6/2023,5,THURSDAY ,APRIL    ,2023,Spring,2
20230407,4/7/2023,6,FRIDAY   ,APRIL    ,2023,Spring,2
20230408,4/8/2023,7,SATURDAY ,APRIL    ,2023,Spring,2
20230409,4/9/2023,1,SUNDAY   ,APRIL    ,2023,Spring,2
20230410,4/10/2023,2,MONDAY   ,APRIL    ,2023,Spring,2
20230411,4/11/2023,3,TUESDAY  ,APRIL    ,2023,Spring,2
20230412,4/12/2023,4,WEDNESDAY,APRIL    ,2023,Spring,2
20230413,4/13/2023,5,THURSDAY ,APRIL    ,2023,Spring,2
20230414,4/14/2023,6,FRIDAY   ,APRIL    ,2023,Spring,2
20230415,4/15/2023,7,SATURDAY ,APRIL    ,2023,Spring,2
20230416,4/16/2023,1,SUNDAY   ,APRIL    ,2023,Spring,2
20230417,4/17/2023,2,MONDAY   ,APRIL    ,2023,Spring,2
20230418,4/18/2023,3,TUESDAY  ,APRIL    ,2023,Spring,2
20230419,4/19/2023,4,WEDNESDAY,APRIL    ,2023,Spring,2
20230420,4/20/2023,5,THURSDAY ,APRIL    ,2023,Spring,2
20230421,4/21/2023,6,FRIDAY   ,APRIL    ,2023,Spring,2
20230422,4/22/2023,7,SATURDAY ,APRIL    ,2023,Spring,2
20230423,4/23/2023,1,SUNDAY   ,APRIL    ,2023,Spring,2
20230424,4/24/2023,2,MONDAY   ,APRIL    ,2023,Spring,2
20230425,4/25/2023,3,TUESDAY  ,APRIL    ,2023,Spring,2
20230426,4/26/2023,4,WEDNESDAY,APRIL    ,2023,Spring,2
20230427,4/27/2023,5,THURSDAY ,APRIL    ,2023,Spring,2
20230428,4/28/2023,6,FRIDAY   ,APRIL    ,2023,Spring,2
20230429,4/29/2023,7,SATURDAY ,APRIL    ,2023,Spring,2
20230430,4/30/2023,1,SUNDAY   ,APRIL    ,2023,Spring,2
20230501,5/1/2023,2,MONDAY   ,MAY      ,2023,Spring,2
20230502,5/2/2023,3,TUESDAY  ,MAY      ,2023,Spring,2
20230503,5/3/2023,4,WEDNESDAY,MAY      ,2023,Spring,2
20230504,5/4/2023,5,THURSDAY ,MAY      ,2023,Spring,2
20230505,5/5/2023,6,FRIDAY   ,MAY      ,2023,Spring,2
20230506,5/6/2023,7,SATURDAY ,MAY      ,2023,Spring,2
20230507,5/7/2023,1,SUNDAY   ,MAY      ,2023,Spring,2
20230508,5/8/2023,2,MONDAY   ,MAY      ,2023,Spring,2
20230509,5/9/2023,3,TUESDAY  ,MAY      ,2023,Spring,2
20230510,5/10/2023,4,WEDNESDAY,MAY      ,2023,Spring,2
20230511,5/11/2023,5,THURSDAY ,MAY      ,2023,Spring,2
20230512,5/12/2023,6,FRIDAY   ,MAY      ,2023,Spring,2
20230513,5/13/2023,7,SATURDAY ,MAY      ,2023,Spring,2
20230514,5/14/2023,1,SUNDAY   ,MAY      ,2023,Spring,2
20230515,5/15/2023,2,MONDAY   ,MAY      ,2023,Spring,2
20230516,5/16/2023,3,TUESDAY  ,MAY      ,2023,Spring,2
20230517,5/17/2023,4,WEDNESDAY,MAY      ,2023,Spring,2
20230518,5/18/2023,5,THURSDAY ,MAY      ,2023,Spring,2
20230519,5/19/2023,6,FRIDAY   ,MAY      ,2023,Spring,2
20230520,5/20/2023,7,SATURDAY ,MAY      ,2023,Spring,2
20230521,5/21/2023,1,SUNDAY   ,MAY      ,2023,Spring,2
20230522,5/22/2023,2,MONDAY   ,MAY      ,2023,Spring,2
20230523,5/23/2023,3,TUESDAY  ,MAY      ,2023,Spring,2
20230524,5/24/2023,4,WEDNESDAY,MAY      ,2023,Spring,2
20230525,5/25/2023,5,THURSDAY ,MAY      ,2023,Spring,2
20230526,5/26/2023,6,FRIDAY   ,MAY      ,2023,Spring,2
20230527,5/27/2023,7,SATURDAY ,MAY      ,2023,Spring,2
20230528,5/28/2023,1,SUNDAY   ,MAY      ,2023,Spring,2
20230529,5/29/2023,2,MONDAY   ,MAY      ,2023,Spring,2
20230530,5/30/2023,3,TUESDAY  ,MAY      ,2023,Spring,2
20230531,5/31/2023,4,WEDNESDAY,MAY      ,2023,Spring,2
20230601,6/1/2023,5,THURSDAY ,JUNE     ,2023,Summer,2
20230602,6/2/2023,6,FRIDAY   ,JUNE     ,2023,Summer,2
20230603,6/3/2023,7,SATURDAY ,JUNE     ,2023,Summer,2
20230604,6/4/2023,1,SUNDAY   ,JUNE     ,2023,Summer,2
20230605,6/5/2023,2,MONDAY   ,JUNE     ,2023,Summer,2
20230606,6/6/2023,3,TUESDAY  ,JUNE     ,2023,Summer,2
20230607,6/7/2023,4,WEDNESDAY,JUNE     ,2023,Summer,2
20230608,6/8/2023,5,THURSDAY ,JUNE     ,2023,Summer,2
20230609,6/9/2023,6,FRIDAY   ,JUNE     ,2023,Summer,2
20230610,6/10/2023,7,SATURDAY ,JUNE     ,2023,Summer,2
20230611,6/11/2023,1,SUNDAY   ,JUNE     ,2023,Summer,2
20230612,6/12/2023,2,MONDAY   ,JUNE     ,2023,Summer,2
20230613,6/13/2023,3,TUESDAY  ,JUNE     ,2023,Summer,2
20230614,6/14/2023,4,WEDNESDAY,JUNE     ,2023,Summer,2
20230615,6/15/2023,5,THURSDAY ,JUNE     ,2023,Summer,2
20230616,6/16/2023,6,FRIDAY   ,JUNE     ,2023,Summer,2
20230617,6/17/2023,7,SATURDAY ,JUNE     ,2023,Summer,2
20230618,6/18/2023,1,SUNDAY   ,JUNE     ,2023,Summer,2
20230619,6/19/2023,2,MONDAY   ,JUNE     ,2023,Summer,2
20230620,6/20/2023,3,TUESDAY  ,JUNE     ,2023,Summer,2
20230621,6/21/2023,4,WEDNESDAY,JUNE     ,2023,Summer,2
20230622,6/22/2023,5,THURSDAY ,JUNE     ,2023,Summer,2
20230623,6/23/2023,6,FRIDAY   ,JUNE     ,2023,Summer,2
20230624,6/24/2023,7,SATURDAY ,JUNE     ,2023,Summer,2
20230625,6/25/2023,1,SUNDAY   ,JUNE     ,2023,Summer,2
20230626,6/26/2023,2,MONDAY   ,JUNE     ,2023,Summer,2
20230627,6/27/2023,3,TUESDAY  ,JUNE     ,2023,Summer,2
20230628,6/28/2023,4,WEDNESDAY,JUNE     ,2023,Summer,2
20230629,6/29/2023,5,THURSDAY ,JUNE     ,2023,Summer,2
20230630,6/30/2023,6,FRIDAY   ,JUNE     ,2023,Summer,2
20230701,7/1/2023,7,SATURDAY ,JULY     ,2023,Summer,3
20230702,7/2/2023,1,SUNDAY   ,JULY     ,2023,Summer,3
20230703,7/3/2023,2,MONDAY   ,JULY     ,2023,Summer,3
20230704,7/4/2023,3,TUESDAY  ,JULY     ,2023,Summer,3
20230705,7/5/2023,4,WEDNESDAY,JULY     ,2023,Summer,3
20230706,7/6/2023,5,THURSDAY ,JULY     ,2023,Summer,3
20230707,7/7/2023,6,FRIDAY   ,JULY     ,2023,Summer,3
20230708,7/8/2023,7,SATURDAY ,JULY     ,2023,Summer,3
20230709,7/9/2023,1,SUNDAY   ,JULY     ,2023,Summer,3
20230710,7/10/2023,2,MONDAY   ,JULY     ,2023,Summer,3
20230711,7/11/2023,3,TUESDAY  ,JULY     ,2023,Summer,3
20230712,7/12/2023,4,WEDNESDAY,JULY     ,2023,Summer,3
20230713,7/13/2023,5,THURSDAY ,JULY     ,2023,Summer,3
20230714,7/14/2023,6,FRIDAY   ,JULY     ,2023,Summer,3
20230715,7/15/2023,7,SATURDAY ,JULY     ,2023,Summer,3
20230716,7/16/2023,1,SUNDAY   ,JULY     ,2023,Summer,3
20230717,7/17/2023,2,MONDAY   ,JULY     ,2023,Summer,3
20230718,7/18/2023,3,TUESDAY  ,JULY     ,2023,Summer,3
20230719,7/19/2023,4,WEDNESDAY,JULY     ,2023,Summer,3
20230720,7/20/2023,5,THURSDAY ,JULY     ,2023,Summer,3
20230721,7/21/2023,6,FRIDAY   ,JULY     ,2023,Summer,3
20230722,7/22/2023,7,SATURDAY ,JULY     ,2023,Summer,3
20230723,7/23/2023,1,SUNDAY   ,JULY     ,2023,Summer,3
20230724,7/24/2023,2,MONDAY   ,JULY     ,2023,Summer,3
20230725,7/25/2023,3,TUESDAY  ,JULY     ,2023,Summer,3
20230726,7/26/2023,4,WEDNESDAY,JULY     ,2023,Summer,3
20230727,7/27/2023,5,THURSDAY ,JULY     ,2023,Summer,3
20230728,7/28/2023,6,FRIDAY   ,JULY     ,2023,Summer,3
20230729,7/29/2023,7,SATURDAY ,JULY     ,2023,Summer,3
20230730,7/30/2023,1,SUNDAY   ,JULY     ,2023,Summer,3
20230731,7/31/2023,2,MONDAY   ,JULY     ,2023,Summer,3
20230801,8/1/2023,3,TUESDAY  ,AUGUST   ,2023,Summer,3
20230802,8/2/2023,4,WEDNESDAY,AUGUST   ,2023,Summer,3
20230803,8/3/2023,5,THURSDAY ,AUGUST   ,2023,Summer,3
20230804,8/4/2023,6,FRIDAY   ,AUGUST   ,2023,Summer,3
20230805,8/5/2023,7,SATURDAY ,AUGUST   ,2023,Summer,3
20230806,8/6/2023,1,SUNDAY   ,AUGUST   ,2023,Summer,3
20230807,8/7/2023,2,MONDAY   ,AUGUST   ,2023,Summer,3
20230808,8/8/2023,3,TUESDAY  ,AUGUST   ,2023,Summer,3
20230809,8/9/2023,4,WEDNESDAY,AUGUST   ,2023,Summer,3
20230810,8/10/2023,5,THURSDAY ,AUGUST   ,2023,Summer,3
20230811,8/11/2023,6,FRIDAY   ,AUGUST   ,2023,Summer,3
20230812,8/12/2023,7,SATURDAY ,AUGUST   ,2023,Summer,3
20230813,8/13/2023,1,SUNDAY   ,AUGUST   ,2023,Summer,3
20230814,8/14/2023,2,MONDAY   ,AUGUST   ,2023,Summer,3
20230815,8/15/2023,3,TUESDAY  ,AUGUST   ,2023,Summer,3
20230816,8/16/2023,4,WEDNESDAY,AUGUST   ,2023,Summer,3
20230817,8/17/2023,5,THURSDAY ,AUGUST   ,2023,Summer,3
20230818,8/18/2023,6,FRIDAY   ,AUGUST   ,2023,Summer,3
20230819,8/19/2023,7,SATURDAY ,AUGUST   ,2023,Summer,3
20230820,8/20/2023,1,SUNDAY   ,AUGUST   ,2023,Summer,3
20230821,8/21/2023,2,MONDAY   ,AUGUST   ,2023,Summer,3
20230822,8/22/2023,3,TUESDAY  ,AUGUST   ,2023,Summer,3
20230823,8/23/2023,4,WEDNESDAY,AUGUST   ,2023,Summer,3
20230824,8/24/2023,5,THURSDAY ,AUGUST   ,2023,Summer,3
20230825,8/25/2023,6,FRIDAY   ,AUGUST   ,2023,Summer,3
20230826,8/26/2023,7,SATURDAY ,AUGUST   ,2023,Summer,3
20230827,8/27/2023,1,SUNDAY   ,AUGUST   ,2023,Summer,3
20230828,8/28/2023,2,MONDAY   ,AUGUST   ,2023,Summer,3
20230829,8/29/2023,3,TUESDAY  ,AUGUST   ,2023,Summer,3
20230830,8/30/2023,4,WEDNESDAY,AUGUST   ,2023,Summer,3
20230831,8/31/2023,5,THURSDAY ,AUGUST   ,2023,Summer,3
20230901,9/1/2023,6,FRIDAY   ,SEPTEMBER,2023,Autumn,3
20230902,9/2/2023,7,SATURDAY ,SEPTEMBER,2023,Autumn,3
20230903,9/3/2023,1,SUNDAY   ,SEPTEMBER,2023,Autumn,3
20230904,9/4/2023,2,MONDAY   ,SEPTEMBER,2023,Autumn,3
20230905,9/5/2023,3,TUESDAY  ,SEPTEMBER,2023,Autumn,3
20230906,9/6/2023,4,WEDNESDAY,SEPTEMBER,2023,Autumn,3
20230907,9/7/2023,5,THURSDAY ,SEPTEMBER,2023,Autumn,3
20230908,9/8/2023,6,FRIDAY   ,SEPTEMBER,2023,Autumn,3
20230909,9/9/2023,7,SATURDAY ,SEPTEMBER,2023,Autumn,3
20230910,9/10/2023,1,SUNDAY   ,SEPTEMBER,2023,Autumn,3
20230911,9/11/2023,2,MONDAY   ,SEPTEMBER,2023,Autumn,3
20230912,9/12/2023,3,TUESDAY  ,SEPTEMBER,2023,Autumn,3
20230913,9/13/2023,4,WEDNESDAY,SEPTEMBER,2023,Autumn,3
20230914,9/14/2023,5,THURSDAY ,SEPTEMBER,2023,Autumn,3
20230915,9/15/2023,6,FRIDAY   ,SEPTEMBER,2023,Autumn,3
20230916,9/16/2023,7,SATURDAY ,SEPTEMBER,2023,Autumn,3
20230917,9/17/2023,1,SUNDAY   ,SEPTEMBER,2023,Autumn,3
20230918,9/18/2023,2,MONDAY   ,SEPTEMBER,2023,Autumn,3
20230919,9/19/2023,3,TUESDAY  ,SEPTEMBER,2023,Autumn,3
20230920,9/20/2023,4,WEDNESDAY,SEPTEMBER,2023,Autumn,3
20230921,9/21/2023,5,THURSDAY ,SEPTEMBER,2023,Autumn,3
20230922,9/22/2023,6,FRIDAY   ,SEPTEMBER,2023,Autumn,3
20230923,9/23/2023,7,SATURDAY ,SEPTEMBER,2023,Autumn,3
20230924,9/24/2023,1,SUNDAY   ,SEPTEMBER,2023,Autumn,3
20230925,9/25/2023,2,MONDAY   ,SEPTEMBER,2023,Autumn,3
20230926,9/26/2023,3,TUESDAY  ,SEPTEMBER,2023,Autumn,3
20230927,9/27/2023,4,WEDNESDAY,SEPTEMBER,2023,Autumn,3
20230928,9/28/2023,5,THURSDAY ,SEPTEMBER,2023,Autumn,3
20230929,9/29/2023,6,FRIDAY   ,SEPTEMBER,2023,Autumn,3
20230930,9/30/2023,7,SATURDAY ,SEPTEMBER,2023,Autumn,3
20231001,10/1/2023,1,SUNDAY   ,OCTOBER  ,2023,Autumn,4
